DATE	2021/09/11 13:13:21
ファイル名	Ni_calibration__ANA.txt
元ファイル名	Ni_calibration_.txt
新規	1	(0:新規 1:解析 2:ファイル開く 3:パラメータ保存)
コメント	
磁場単位	2	Oe	(0=emu 1=mT 2=Oe)
磁化単位	0	emu	(0=emu 1=mT 2=Oe 3=emu/g 4=emu/cc)
ステップ数	100
低速区間	100.000	[Oe]
低速ステップ数	100
サンプルレート	10000.000	[Hz]
サンプル数	1000.000
ステップ時間	300.000	[ms/step]
形状選択	0	(0=四角 1=円 2=任意形状)
縦	0.000	[mm]
横	0.000	[mm]
半径	0.000	[mm]
面積	0.000	[mm^2]
厚さ	0.000	[μm]
重量	0.000	[mg]
0:PC 1:ローカル	1
磁場係数	0.000
0:終了後処理なし 1:終了後処理する	1
最大磁場設定値	5.069619265	[V]	10139.239	[Oe]	
測定ステップ幅	5.019619265E-2	[V]
全測定数	802.000
磁場レンジ	10000	[Oe]
測定方法	通常測定
磁化感度	1.000E-1	[emu]
時定数	100.000	[ms]
mGM係数	2.968922000	[Oe/V]
傾き補正	1	(0:補正なし 1:手動補正 2:自動補正)
補正磁場	100.000000000	[Oe]
補正量	-0.000045000	[emu]
自動補正領域	10.000000000	[％]
傾き(自動)	0.000000000
フィルタ処理	0	(0:補正なし 1:手動補正)
フィルタ選択	0	(0:メディアン 1:メディアン＋ローパス 2:移動平均 3:メディアン＋移動平均 4:標準偏差＋移動平均)
メディアン階数	0
標準偏差しきい値	0.000000000
移動平均長さ	0
フィルタ形式	0	(0ベッセル 1:チェビシェフ 2:バターワース 3:チェビシェフpbyp)
低域カットオフ周波数	0.000000000
次数	0
位相ズレ	0
磁場オフセット	0	(0:補正なし 1:平均 2:手動 3:最大最小)
磁場手動オフセット	0.000000000	[Oe]
磁場自動オフセット	0.000000000	[Oe]
磁化オフセット	0	(0:補正なし 1:平均 2:手動 3:最大最小)
磁化手動オフセット	0.000000000	[emu]
磁化自動オフセット	0.000000000	[emu]
mGM結合	0	(0:補正なし 1:自動補正)
Ms手動	0.000000000
Hc手動	0.000000000
Mr手動	0.000000000
Mr/Ms手動	0.000000000
Hk手動	0.000000000
Ms自動	0.001689244
Hc自動	32.366480488
Mr自動	0.003283649
Mr/Ms自動	1.943857099
自動Ms領域	10.000000000	[%]








磁場(GM)[V]	磁場(mGM)[V]	磁化[V]	出力強磁界[V]	出力弱磁界[V]	出力したい磁場[Oe]	磁場(GM)[Oe]	磁場(mGM)[Oe]	磁化[emu]	磁場(GM+mGM)[Oe]	磁化(GM+mGM)[emu]	0:mGM 1:GM
0.042955322	16.202189352	-0.094564154	0.017253250	0.265068904	-3.000000000	85.910643844	19.442627223	-0.004728208	85.910643844	-0.004689548	1.000000000
0.042963220	16.202189352	-0.094593991	0.017253250	0.384901138	-2.000000000	85.926439546	19.442627223	-0.004729700	85.926439546	-0.004691033	1.000000000
0.042941336	16.202189352	-0.094546303	0.017253250	0.501746217	-1.000000000	85.882672288	19.442627223	-0.004727315	85.882672288	-0.004688668	1.000000000
0.042933438	16.202189352	-0.094403495	0.017253250	0.618160652	0.000000000	85.866876586	19.442627223	-0.004720175	85.866876586	-0.004681535	1.000000000
0.042907277	16.202189352	-0.094646780	0.017253250	0.734575087	1.000000000	85.814553323	19.442627223	-0.004732339	85.814553323	-0.004693722	1.000000000
0.042975396	16.202189352	-0.094665141	0.017253250	0.852267303	2.000000000	85.950791253	19.442627223	-0.004733257	85.950791253	-0.004694579	1.000000000
0.042973915	16.202189352	-0.094481529	0.017253250	0.971599045	3.000000000	85.947829559	19.442627223	-0.004724076	85.947829559	-0.004685400	1.000000000
0.043000735	16.202189352	-0.094591186	0.017253250	1.090930788	4.000000000	86.001469130	19.442627223	-0.004729559	86.001469130	-0.004690859	1.000000000
0.042965359	16.202189352	-0.094608017	0.017253250	1.210195614	5.000000000	85.930717549	19.442627223	-0.004730401	85.930717549	-0.004691732	1.000000000
0.043558849	16.202189352	-0.094285932	0.018085213	1.210195614	6.000000000	87.117698738	19.442627223	-0.004714297	87.117698738	-0.004675094	1.000000000
0.044084715	16.202189352	-0.094097986	0.018917176	1.210195614	7.000000000	88.169429230	19.442627223	-0.004704899	88.169429230	-0.004665223	1.000000000
0.044472367	16.202189352	-0.093659104	0.019749139	1.210195614	8.000000000	88.944734937	19.442627223	-0.004682955	88.944734937	-0.004642930	1.000000000
0.044997245	16.202189352	-0.093534401	0.020581102	1.210195614	9.000000000	89.994490966	19.442627223	-0.004676720	89.994490966	-0.004636223	1.000000000
0.045554209	16.202189352	-0.093143462	0.021413065	1.210195614	10.000000000	91.108417034	19.442627223	-0.004657173	91.108417034	-0.004616174	1.000000000
0.045956670	16.202189352	-0.092778025	0.022245028	1.210195614	11.000000000	91.913339682	19.442627223	-0.004638901	91.913339682	-0.004597540	1.000000000
0.046484345	16.202189352	-0.092451605	0.023076991	1.210195614	12.000000000	92.968690023	19.442627223	-0.004622580	92.968690023	-0.004580744	1.000000000
0.047098074	16.202189352	-0.091979826	0.023908954	1.210195614	13.000000000	94.196147700	19.442627223	-0.004598991	94.196147700	-0.004556603	1.000000000
0.047455945	16.202189352	-0.091629179	0.024740917	1.210195614	14.000000000	94.911890447	19.442627223	-0.004581459	94.911890447	-0.004538749	1.000000000
0.048018503	16.202189352	-0.091205598	0.025572880	1.210195614	15.000000000	96.037005138	19.442627223	-0.004560280	96.037005138	-0.004517063	1.000000000
0.048586983	16.202189352	-0.090258470	0.026404843	1.210195614	16.000000000	97.173966606	19.442627223	-0.004512924	97.173966606	-0.004469195	1.000000000
0.048953575	16.202189352	-0.089837184	0.027236806	1.210195614	17.000000000	97.907150441	19.442627223	-0.004491859	97.907150441	-0.004447801	1.000000000
0.049464961	16.202189352	-0.089384787	0.028068769	1.210195614	18.000000000	98.929922147	19.442627223	-0.004469239	98.929922147	-0.004424721	1.000000000
0.050048086	16.202189352	-0.088505493	0.028900732	1.210195614	19.000000000	100.096171479	19.442627223	-0.004425275	100.096171479	-0.004380231	1.000000000
0.050476215	16.202189352	-0.087743506	0.029732695	1.210195614	20.000000000	100.952430159	19.442627223	-0.004387175	100.952430159	-0.004341747	1.000000000
0.051055391	16.202189352	-0.086222337	0.030564658	1.210195614	21.000000000	102.110781640	19.442627223	-0.004311117	102.110781640	-0.004265167	1.000000000
0.051565296	16.202189352	-0.084588452	0.031396621	1.210195614	22.000000000	103.130591652	19.442627223	-0.004229423	103.130591652	-0.004183014	1.000000000
0.052009714	16.202189352	-0.083475309	0.032228584	1.210195614	23.000000000	104.019428968	19.442627223	-0.004173765	104.019428968	-0.004126957	1.000000000
0.052516658	16.202189352	-0.078239072	0.033060547	1.210195614	24.000000000	105.033315591	19.442627223	-0.003911954	105.033315591	-0.003864689	1.000000000
0.053094024	16.202189352	-0.073131874	0.033892510	1.210195614	25.000000000	106.188047224	19.442627223	-0.003656594	106.188047224	-0.003608809	1.000000000
0.053451895	16.202189352	-0.027068396	0.034724473	1.210195614	26.000000000	106.903789972	19.442627223	-0.001353420	106.903789972	-0.001305313	1.000000000
0.054021527	16.202189352	-0.015653640	0.035556436	1.210195614	27.000000000	108.043054981	19.442627223	-0.000782682	108.043054981	-0.000734063	1.000000000
0.054611892	16.202189352	-0.011660095	0.036388399	1.210195614	28.000000000	109.223783707	19.442627223	-0.000583005	109.223783707	-0.000533854	1.000000000
0.055015999	16.202189352	-0.005499172	0.037220363	1.210195614	29.000000000	110.031997128	19.442627223	-0.000274959	110.031997128	-0.000225444	1.000000000
0.055588099	16.202189352	0.000538834	0.038052326	1.210195614	30.000000000	111.176198294	19.442627223	0.000026942	111.176198294	0.000076971	1.000000000
0.056081221	16.202189352	0.007933013	0.038884289	1.210195614	31.000000000	112.162442439	19.442627223	0.000396651	112.162442439	0.000447124	1.000000000
0.056499643	16.202189352	0.012507994	0.039716252	1.210195614	32.000000000	112.999285570	19.442627223	0.000625400	112.999285570	0.000676249	1.000000000
0.057030280	16.202189352	0.014166361	0.040548215	1.210195614	33.000000000	114.060559300	19.442627223	0.000708318	114.060559300	0.000759645	1.000000000
0.057591192	16.202189352	0.015615869	0.041380178	1.210195614	34.000000000	115.182383221	19.442627223	0.000780793	115.182383221	0.000832626	1.000000000
0.058022941	16.202189352	0.017007490	0.042212141	1.210195614	35.000000000	116.045881599	19.442627223	0.000850374	116.045881599	0.000902595	1.000000000
0.058553578	16.202189352	0.018248141	0.043044104	1.210195614	36.000000000	117.107155330	19.442627223	0.000912407	117.107155330	0.000965105	1.000000000
0.059110047	16.202189352	0.021004350	0.043876067	1.210195614	37.000000000	118.220094169	19.442627223	0.001050218	118.220094169	0.001103417	1.000000000
0.059501320	16.202189352	0.022310285	0.044708030	1.210195614	38.000000000	119.002639574	19.442627223	0.001115514	119.002639574	0.001169065	1.000000000
0.060004314	16.202189352	0.023355850	0.045539993	1.210195614	39.000000000	120.008628348	19.442627223	0.001167792	120.008628348	0.001221796	1.000000000
0.060583325	16.202189352	0.024299153	0.046371956	1.210195614	40.000000000	121.166650754	19.442627223	0.001214958	121.166650754	0.001269483	1.000000000
0.060978712	16.202189352	0.025249851	0.047203919	1.210195614	41.000000000	121.957423087	19.442627223	0.001262493	121.957423087	0.001317373	1.000000000
0.061543079	16.202189352	0.026187799	0.048035882	1.210195614	42.000000000	123.086157629	19.442627223	0.001309390	123.086157629	0.001364779	1.000000000
0.062141341	16.202189352	0.026974012	0.048867845	1.210195614	43.000000000	124.282682059	19.442627223	0.001348701	124.282682059	0.001404628	1.000000000
0.062498225	16.202189352	0.027463387	0.049699808	1.210195614	44.000000000	124.996450345	19.442627223	0.001373169	124.996450345	0.001429418	1.000000000
0.063020800	16.202189352	0.028112402	0.050531771	1.210195614	45.000000000	126.041599297	19.442627223	0.001405620	126.041599297	0.001462339	1.000000000
0.063629757	16.202189352	0.028718319	0.051363734	1.210195614	46.000000000	127.259513741	19.442627223	0.001435916	127.259513741	0.001493183	1.000000000
0.063943038	16.202189352	0.029402271	0.052195697	1.210195614	47.000000000	127.886076588	19.442627223	0.001470114	127.886076588	0.001527662	1.000000000
0.064556274	16.202189352	0.030078827	0.053027660	1.210195614	48.000000000	129.112547037	19.442627223	0.001503941	129.112547037	0.001562042	1.000000000
0.065168357	16.202189352	0.031200641	0.053859623	1.210195614	49.000000000	130.336713946	19.442627223	0.001560032	130.336713946	0.001618684	1.000000000
0.065724333	16.202189352	0.031584440	0.054691586	1.210195614	50.000000000	131.448665555	19.442627223	0.001579222	131.448665555	0.001638374	1.000000000
0.066047487	16.202189352	0.032073305	0.055523549	1.210195614	51.000000000	132.094973031	19.442627223	0.001603665	132.094973031	0.001663108	1.000000000
0.066613170	16.202189352	0.032614448	0.056355512	1.210195614	52.000000000	133.226340191	19.442627223	0.001630722	133.226340191	0.001690674	1.000000000
0.067181322	16.202189352	0.033185938	0.057187476	1.210195614	53.000000000	134.362643507	19.442627223	0.001659297	134.362643507	0.001719760	1.000000000
0.067615210	16.202189352	0.033462120	0.058019439	1.210195614	54.000000000	135.230419889	19.442627223	0.001673106	135.230419889	0.001733960	1.000000000
0.068186652	16.202189352	0.033584018	0.058851402	1.210195614	55.000000000	136.373304748	19.442627223	0.001679201	136.373304748	0.001740569	1.000000000
0.068738679	16.202189352	0.034140207	0.059683365	1.210195614	56.000000000	137.477358507	19.442627223	0.001707010	137.477358507	0.001768875	1.000000000
0.069077300	16.202189352	0.034372526	0.060515328	1.210195614	57.000000000	138.154599233	19.442627223	0.001718626	138.154599233	0.001780796	1.000000000
0.069699091	16.202189352	0.034657123	0.061347291	1.210195614	58.000000000	139.398181693	19.442627223	0.001732856	139.398181693	0.001795585	1.000000000
0.070213603	16.202189352	0.035085295	0.062179254	1.210195614	59.000000000	140.427205867	19.442627223	0.001754265	140.427205867	0.001817457	1.000000000
0.070540541	16.202189352	0.035342351	0.063011217	1.210195614	60.000000000	141.081082117	19.442627223	0.001767118	141.081082117	0.001830604	1.000000000
0.071083683	16.202189352	0.035549933	0.063843180	1.210195614	61.000000000	142.167365711	19.442627223	0.001777497	142.167365711	0.001841472	1.000000000
0.071647392	16.202189352	0.035920726	0.064675143	1.210195614	62.000000000	143.294783946	19.442627223	0.001796036	143.294783946	0.001860519	1.000000000
0.072034551	16.202189352	0.036362668	0.065507106	1.210195614	63.000000000	144.069102425	19.442627223	0.001818133	144.069102425	0.001882965	1.000000000
0.072600399	16.202189352	0.036418262	0.066339069	1.210195614	64.000000000	145.200798663	19.442627223	0.001820913	145.200798663	0.001886253	1.000000000
0.073193561	16.202189352	0.036883665	0.067171032	1.210195614	65.000000000	146.387121704	19.442627223	0.001844183	146.387121704	0.001910057	1.000000000
0.073568051	16.202189352	0.037147606	0.068002995	1.210195614	66.000000000	147.136101243	19.442627223	0.001857380	147.136101243	0.001923592	1.000000000
0.074099839	16.202189352	0.037365390	0.068834958	1.210195614	67.000000000	148.199678516	19.442627223	0.001868269	148.199678516	0.001934959	1.000000000
0.074712416	16.202189352	0.037517889	0.069666921	1.210195614	68.000000000	149.424832659	19.442627223	0.001875894	149.424832659	0.001943136	1.000000000
0.075104676	16.202189352	0.037919794	0.070498884	1.210195614	69.000000000	150.209352528	19.442627223	0.001895990	150.209352528	0.001963584	1.000000000
0.075602734	16.202189352	0.038110290	0.071330847	1.210195614	70.000000000	151.205468990	19.442627223	0.001905515	151.205468990	0.001973557	1.000000000
0.076194909	16.202189352	0.038356126	0.072162810	1.210195614	71.000000000	152.389817569	19.442627223	0.001917806	152.389817569	0.001986382	1.000000000
0.076592598	16.202189352	0.038593800	0.072994773	1.210195614	72.000000000	153.185196984	19.442627223	0.001929690	153.185196984	0.001998623	1.000000000
0.077163547	16.202189352	0.038812604	0.073826736	1.210195614	73.000000000	154.327094614	19.442627223	0.001940630	154.327094614	0.002010077	1.000000000
0.077757696	16.202189352	0.039046708	0.074658699	1.210195614	74.000000000	155.515392118	19.442627223	0.001952335	155.515392118	0.002022317	1.000000000
0.078055511	16.202189352	0.039273927	0.075490662	1.210195614	75.000000000	156.111021718	19.442627223	0.001963696	156.111021718	0.002033946	1.000000000
0.078641104	16.202189352	0.039316769	0.076322625	1.210195614	76.000000000	157.282207212	19.442627223	0.001965838	157.282207212	0.002036615	1.000000000
0.079249567	16.202189352	0.039826801	0.077154589	1.210195614	77.000000000	158.499134427	19.442627223	0.001991340	158.499134427	0.002062665	1.000000000
0.079639030	16.202189352	0.040111143	0.077986552	1.210195614	78.000000000	159.278059986	19.442627223	0.002005557	159.278059986	0.002077232	1.000000000
0.080143176	16.202189352	0.040109358	0.078818515	1.210195614	79.000000000	160.286352302	19.442627223	0.002005468	160.286352302	0.002077597	1.000000000
0.080718238	16.202189352	0.040151181	0.079650478	1.210195614	80.000000000	161.436476861	19.442627223	0.002007559	161.436476861	0.002080205	1.000000000
0.081132876	16.202189352	0.040519423	0.080482441	1.210195614	81.000000000	162.265751220	19.442627223	0.002025971	162.265751220	0.002098991	1.000000000
0.081637351	16.202189352	0.040970546	0.081314404	1.210195614	82.000000000	163.274701691	19.442627223	0.002048527	163.274701691	0.002122001	1.000000000
0.082209945	16.202189352	0.040929233	0.082146367	1.210195614	83.000000000	164.419890093	19.442627223	0.002046462	164.419890093	0.002120451	1.000000000
0.082626228	16.202189352	0.041083263	0.082978330	1.210195614	84.000000000	165.252455224	19.442627223	0.002054163	165.252455224	0.002128527	1.000000000
0.083168382	16.202189352	0.041261264	0.083810293	1.210195614	85.000000000	166.336764358	19.442627223	0.002063063	166.336764358	0.002137915	1.000000000
0.083741141	16.202189352	0.041389027	0.084642256	1.210195614	86.000000000	167.482281837	19.442627223	0.002069451	167.482281837	0.002144818	1.000000000
0.084112175	16.202189352	0.041570853	0.085474219	1.210195614	87.000000000	168.224350758	19.442627223	0.002078543	168.224350758	0.002154244	1.000000000
0.084687073	16.202189352	0.041787871	0.086306182	1.210195614	88.000000000	169.374146240	19.442627223	0.002089394	169.374146240	0.002165612	1.000000000
0.085272008	16.202189352	0.041925070	0.087138145	1.210195614	89.000000000	170.544015427	19.442627223	0.002096253	170.544015427	0.002172998	1.000000000
0.085647814	16.202189352	0.042290252	0.087970108	1.210195614	90.000000000	171.295627585	19.442627223	0.002114513	171.295627585	0.002191596	1.000000000
0.086229293	16.202189352	0.042403734	0.088802071	1.210195614	91.000000000	172.458586152	19.442627223	0.002120187	172.458586152	0.002197793	1.000000000
0.086808469	16.202189352	0.042560824	0.089634034	1.210195614	92.000000000	173.616937640	19.442627223	0.002128041	173.616937640	0.002206169	1.000000000
0.087116979	16.202189352	0.042650844	0.090465997	1.210195614	93.000000000	174.233957253	19.442627223	0.002132542	174.233957253	0.002210947	1.000000000
0.087714254	16.202189352	0.042941562	0.091297960	1.210195614	94.000000000	175.428507225	19.442627223	0.002147078	175.428507225	0.002226021	1.000000000
0.088269407	16.202189352	0.043188672	0.092129923	1.210195614	95.000000000	176.538813452	19.442627223	0.002159434	176.538813452	0.002238876	1.000000000
0.088724520	16.202189352	0.043248091	0.092961886	1.210195614	96.000000000	177.449040786	19.442627223	0.002162405	177.449040786	0.002242257	1.000000000
0.089200695	16.202189352	0.043302664	0.093793849	1.210195614	97.000000000	178.401389993	19.442627223	0.002165133	178.401389993	0.002245414	1.000000000
0.089820512	16.202189352	0.043442923	0.094625812	1.210195614	98.000000000	179.641023531	19.442627223	0.002172146	179.641023531	0.002252985	1.000000000
0.090189243	16.202189352	0.043486785	0.095457775	1.210195614	99.000000000	180.378485373	19.442627223	0.002174339	180.378485373	0.002255510	1.000000000
0.090766938	16.202189352	0.043574256	0.096289738	1.210195614	100.000000000	181.533875168	19.442627223	0.002178713	181.533875168	0.002260403	1.000000000
0.140215219	16.202189352	0.051682479	0.179813664	1.210195614	200.393793755	280.430437407	19.442627223	0.002584124	280.430437407	0.002710318	1.000000000
0.190171266	16.202189352	0.057132928	0.263337590	1.210195614	300.787587511	380.342532471	19.442627223	0.002856646	380.342532471	0.003027801	1.000000000
0.240289878	16.202189352	0.060400954	0.346855042	1.210195614	401.181381266	480.579756595	19.442627223	0.003020048	480.579756595	0.003236309	1.000000000
0.290686561	16.202189352	0.062570627	0.430300152	1.210195614	501.575175021	581.373121979	19.442627223	0.003128531	581.373121979	0.003390149	1.000000000
0.341324951	16.202189352	0.063563403	0.513745262	1.210195614	601.968968777	682.649902630	19.442627223	0.003178170	682.649902630	0.003485363	1.000000000
0.391772313	16.202189352	0.064368742	0.597190372	1.210195614	702.362762532	783.544625715	19.442627223	0.003218437	783.544625715	0.003571032	1.000000000
0.442177389	16.202189352	0.064704088	0.680636098	1.210195614	802.756556288	884.354777004	19.442627223	0.003235204	884.354777004	0.003633164	1.000000000
0.492579009	16.202189352	0.064579640	0.764162068	1.210195614	903.150350043	985.158018744	19.442627223	0.003228982	985.158018744	0.003672303	1.000000000
0.543162117	16.202189352	0.064471004	0.847688038	1.210195614	1003.544143798	1086.324233700	19.442627223	0.003223550	1086.324233700	0.003712396	1.000000000
0.593712482	16.202189352	0.063870697	0.931214008	1.210195614	1103.937937554	1187.424963463	19.442627223	0.003193535	1187.424963463	0.003727876	1.000000000
0.644294439	16.202189352	0.063299972	1.014739977	1.210195614	1204.331731309	1288.588877244	19.442627223	0.003164999	1288.588877244	0.003744864	1.000000000
0.694756612	16.202189352	0.062565272	1.098092435	1.210195614	1304.725525064	1389.513224093	19.442627223	0.003128264	1389.513224093	0.003753545	1.000000000
0.745270451	16.202189352	0.061820371	1.181433231	1.210195614	1405.119318820	1490.540902456	19.442627223	0.003091019	1490.540902456	0.003761762	1.000000000
0.795734271	16.202189352	0.061023192	1.264774027	1.210195614	1505.513112575	1591.468542682	19.442627223	0.003051160	1591.468542682	0.003767320	1.000000000
0.846311130	16.202189352	0.060188526	1.348114823	1.210195614	1605.906906331	1692.622260296	19.442627223	0.003009426	1692.622260296	0.003771106	1.000000000
0.896610907	16.202189352	0.059172798	1.431454922	1.210195614	1706.300700086	1793.221813341	19.442627223	0.002958640	1793.221813341	0.003765590	1.000000000
0.947195007	16.202189352	0.058328442	1.514794904	1.210195614	1806.694493841	1894.390013210	19.442627223	0.002916422	1894.390013210	0.003768898	1.000000000
0.997744719	16.202189352	0.057558039	1.598134886	1.210195614	1907.088287597	1995.489437440	19.442627223	0.002877902	1995.489437440	0.003775872	1.000000000
1.048356298	16.202189352	0.056370686	1.681474868	1.210195614	2007.482081352	2096.712596233	19.442627223	0.002818534	2096.712596233	0.003762055	1.000000000
1.098915720	16.202189352	0.055488587	1.764819598	1.210195614	2107.875875107	2197.831439133	19.442627223	0.002774429	2197.831439133	0.003763454	1.000000000
1.149416731	16.202189352	0.054392020	1.848165685	1.210195614	2208.269668863	2298.833461243	19.442627223	0.002719601	2298.833461243	0.003754076	1.000000000
1.199776733	16.202189352	0.053656555	1.931511772	1.210195614	2308.663462618	2399.553465836	19.442627223	0.002682828	2399.553465836	0.003762627	1.000000000
1.250379266	16.202189352	0.052655108	2.014857859	1.210195614	2409.057256374	2500.758531943	19.442627223	0.002632755	2500.758531943	0.003758097	1.000000000
1.301040376	16.202189352	0.051646521	2.098161626	1.210195614	2509.451050129	2602.080751291	19.442627223	0.002582326	2602.080751291	0.003753262	1.000000000
1.351407456	16.202189352	0.050650430	2.181447111	1.210195614	2609.844843884	2702.814911415	19.442627223	0.002532522	2702.814911415	0.003748788	1.000000000
1.402026774	16.202189352	0.049659439	2.264732596	1.210195614	2710.238637640	2804.053548762	19.442627223	0.002482972	2804.053548762	0.003744796	1.000000000
1.452691836	16.202189352	0.048958146	2.348018082	1.210195614	2810.632431395	2905.383671457	19.442627223	0.002447907	2905.383671457	0.003755330	1.000000000
1.503166691	16.202189352	0.047602993	2.431232314	1.210195614	2911.026225150	3006.333382767	19.442627223	0.002380150	3006.333382767	0.003733000	1.000000000
1.553535256	16.202189352	0.047039664	2.514402129	1.210195614	3011.420018906	3107.070512115	19.442627223	0.002351983	3107.070512115	0.003750165	1.000000000
1.604317801	16.202189352	0.045851801	2.597571943	1.210195614	3111.813812661	3208.635601841	19.442627223	0.002292590	3208.635601841	0.003736476	1.000000000
1.654849754	16.202189352	0.045182640	2.680741758	1.210195614	3212.207606417	3309.699508937	19.442627223	0.002259132	3309.699508937	0.003748497	1.000000000
1.705309148	16.202189352	0.044078677	2.763893604	1.210195614	3312.601400172	3410.618295028	19.442627223	0.002203934	3410.618295028	0.003738712	1.000000000
1.755809347	16.202189352	0.042947937	2.847029388	1.210195614	3412.995193927	3511.618694397	19.442627223	0.002147397	3511.618694397	0.003727625	1.000000000
1.806167716	16.202189352	0.042193346	2.930165171	1.210195614	3513.388987683	3612.335431296	19.442627223	0.002109667	3612.335431296	0.003735218	1.000000000
1.856724354	16.202189352	0.041150587	3.013300954	1.210195614	3613.782781438	3713.448708527	19.442627223	0.002057529	3713.448708527	0.003728581	1.000000000
1.907375110	16.202189352	0.040123129	3.096433898	1.210195614	3714.176575193	3814.750220221	19.442627223	0.002006156	3814.750220221	0.003722794	1.000000000
1.957852279	16.202189352	0.039298153	3.179563202	1.210195614	3814.570368949	3915.704557642	19.442627223	0.001964908	3915.704557642	0.003726975	1.000000000
2.008451372	16.202189352	0.038487459	3.262692506	1.210195614	3914.964162704	4016.902743680	19.442627223	0.001924373	4016.902743680	0.003731979	1.000000000
2.058883953	16.202189352	0.037475811	3.345821810	1.210195614	4015.357956460	4117.767905833	19.442627223	0.001873791	4117.767905833	0.003726786	1.000000000
2.109455570	16.202189352	0.036555715	3.428877131	1.210195614	4115.751750215	4218.911140735	19.442627223	0.001827786	4218.911140735	0.003726296	1.000000000
2.159803581	16.202189352	0.035849067	3.511793999	1.210195614	4216.145543970	4319.607161978	19.442627223	0.001792453	4319.607161978	0.003736277	1.000000000
2.210280098	16.202189352	0.034782081	3.594710868	1.210195614	4316.539337726	4420.560195108	19.442627223	0.001739104	4420.560195108	0.003728356	1.000000000
2.260601126	16.202189352	0.033855864	3.677627737	1.210195614	4416.933131481	4521.202252658	19.442627223	0.001692793	4521.202252658	0.003727334	1.000000000
2.311143625	16.202189352	0.032957189	3.760561988	1.210195614	4517.326925236	4622.287250902	19.442627223	0.001647859	4622.287250902	0.003727889	1.000000000
2.361468441	16.202189352	0.032171486	3.843549010	1.210195614	4617.720718992	4722.936882391	19.442627223	0.001608574	4722.936882391	0.003733896	1.000000000
2.412065405	16.202189352	0.031339625	3.926536032	1.210195614	4718.114512747	4824.130810515	19.442627223	0.001566981	4824.130810515	0.003737840	1.000000000
2.462622388	16.202189352	0.030573813	4.009523053	1.210195614	4818.508306503	4925.244775538	19.442627223	0.001528691	4925.244775538	0.003745051	1.000000000
2.512901466	16.202189352	0.029748072	4.092497739	1.210195614	4918.902100258	5025.802931566	19.442627223	0.001487404	5025.802931566	0.003749015	1.000000000
2.563387206	16.202189352	0.028864953	4.175402927	1.210195614	5019.295894013	5126.774411582	19.442627223	0.001443248	5126.774411582	0.003750296	1.000000000
2.613819472	16.202189352	0.027837750	4.258308115	1.210195614	5119.689687769	5227.638944254	19.442627223	0.001391887	5227.638944254	0.003744325	1.000000000
2.664287280	16.202189352	0.027027565	4.341213303	1.210195614	5220.083481524	5328.574560505	19.442627223	0.001351378	5328.574560505	0.003749237	1.000000000
2.714900378	16.202189352	0.026133735	4.424118712	1.210195614	5320.477275279	5429.800755039	19.442627223	0.001306687	5429.800755039	0.003750097	1.000000000
2.765219116	16.202189352	0.025673687	4.507028330	1.210195614	5420.871069035	5530.438232967	19.442627223	0.001283684	5530.438232967	0.003772382	1.000000000
2.815807207	16.202189352	0.024542948	4.589937948	1.210195614	5521.264862790	5631.614413667	19.442627223	0.001227147	5631.614413667	0.003761374	1.000000000
2.866237012	16.202189352	0.023608825	4.672847567	1.210195614	5621.658656546	5732.474024877	19.442627223	0.001180441	5732.474024877	0.003760055	1.000000000
2.916871999	16.202189352	0.022878715	4.755757185	1.210195614	5722.052450301	5833.743998769	19.442627223	0.001143936	5833.743998769	0.003769121	1.000000000
2.967085933	16.202189352	0.022319721	4.838483035	1.210195614	5822.446244056	5934.171866484	19.442627223	0.001115986	5934.171866484	0.003786363	1.000000000
3.017583533	16.202189352	0.021494235	4.921198973	1.210195614	5922.840037812	6035.167066931	19.442627223	0.001074712	6035.167066931	0.003790537	1.000000000
3.068032596	16.202189352	0.020844966	5.003914911	1.210195614	6023.233831567	6136.065192706	19.442627223	0.001042248	6136.065192706	0.003803478	1.000000000
3.118516708	16.202189352	0.019870551	5.086630849	1.210195614	6123.627625322	6237.033415222	19.442627223	0.000993528	6237.033415222	0.003800193	1.000000000
3.168872645	16.202189352	0.019106269	5.169388824	1.210195614	6224.021419078	6337.745289613	19.442627223	0.000955313	6337.745289613	0.003807299	1.000000000
3.219365480	16.202189352	0.018535289	5.252154903	1.210195614	6324.415212833	6438.730959822	19.442627223	0.000926764	6438.730959822	0.003824193	1.000000000
3.269784932	16.202189352	0.017718474	5.334920983	1.210195614	6424.809006589	6539.569864799	19.442627223	0.000885924	6539.569864799	0.003828730	1.000000000
3.320353130	16.202189352	0.017318099	5.417687062	1.210195614	6525.202800344	6640.706259289	19.442627223	0.000865905	6640.706259289	0.003854223	1.000000000
3.370731286	16.202189352	0.016494653	5.500379354	1.210195614	6625.596594099	6741.462572627	19.442627223	0.000824733	6741.462572627	0.003858391	1.000000000
3.421216724	16.202189352	0.015645196	5.583044410	1.210195614	6725.990387855	6842.433448021	19.442627223	0.000782260	6842.433448021	0.003861355	1.000000000
3.471649182	16.202189352	0.014837052	5.665709467	1.210195614	6826.384181610	6943.298363952	19.442627223	0.000741853	6943.298363952	0.003866337	1.000000000
3.522139230	16.202189352	0.014403270	5.748374524	1.210195614	6926.777975365	7044.278460605	19.442627223	0.000720164	7044.278460605	0.003890089	1.000000000
